ID,Country,Date,Cum_conf_cases,Cum_susp_cases,Cum_conf_death
332,Liberia,1/12/15,3123,3322,NA
333,Guinea,1/12/15,2508,7,1523
334,Sierra Leone,1/12/15,7766,2041,2683
335,Liberia,1/9/15,3123,3309,NA
336,Guinea,1/9/15,2493,18,1515
337,Sierra Leone,1/9/15,7759,1984,2611
338,Mali,1/9/15,7,0,NA
339,United Kingdom,1/9/15,1,0,NA
340,Mali,1/8/15,7,0,NA
341,United Kingdom,1/8/15,1,0,NA
342,Liberia,1/8/15,3118,3232,NA
343,Guinea,1/8/15,2477,17,1504
344,Sierra Leone,1/8/15,7759,1984,2611
345,Guinea,1/7/15,2471,22,1499
346,Liberia,1/7/15,3118,3223,NA
347,Sierra Leone,1/7/15,7602,1819,2577
348,Mali,1/7/15,7,0,NA
349,United Kingdom,1/7/15,1,0,0
350,Nigeria,1/7/15,19,0,7
351,Senegal,1/7/15,1,0,0
352,Spain,1/7/15,1,0,0
353,United States of America,1/7/15,4,0,1
354,Guinea,1/6/15,2471,22,1499
355,Liberia,1/6/15,3118,3223,NA
356,Sierra Leone,1/6/15,7602,1819,2577
357,Mali,1/6/15,7,0,NA
358,United Kingdom,1/6/15,1,0,0
359,Nigeria,1/6/15,19,0,7
360,Senegal,1/6/15,1,0,0
361,Spain,1/6/15,1,0,0
362,United States of America,1/6/15,4,0,1
363,Guinea,1/5/15,2465,26,1488
364,Liberia,1/5/15,3116,3198,NA
365,Sierra Leone,1/5/15,7570,1915,2549
366,Mali,1/5/15,7,0,NA
367,United Kingdom,1/5/15,1,0,NA
368,United States of America,1/5/15,4,0,1
369,Nigeria,1/5/15,19,0,7
370,Senegal,1/5/15,1,0,0
371,Spain,1/5/15,1,0,0
372,Guinea,1/2/15,2435,19,1463
373,Liberia,1/2/15,3110,3132,NA
374,Sierra Leone,1/2/15,7476,1870,2461
375,Mali,1/2/15,7,0,NA
376,United Kingdom,1/2/15,1,0,NA
377,United States of America,1/2/15,4,0,1
378,Nigeria,1/2/15,19,0,7
379,Senegal,1/2/15,1,0,0
380,Spain,1/2/15,1,0,0
381,Guinea,12/31/14,2397,34,1433
382,Liberia,12/31/14,3110,3132,NA
383,Sierra Leone,12/31/14,7354,1805,2392
384,Mali,12/31/14,7,0,NA
385,United States of America,12/31/14,4,0,1
386,Nigeria,12/31/14,19,0,7
387,Senegal,12/31/14,1,0,0
388,Spain,12/31/14,1,0,0
389,Guinea,12/30/14,2397,34,1433
390,Liberia,12/30/14,3108,3096,NA
391,Sierra Leone,12/30/14,7354,1805,2392
392,Mali,12/30/14,7,0,NA
393,Spain,12/30/14,1,0,0
394,United States of America,12/30/14,4,0,1
395,Nigeria,12/30/14,19,0,7
396,Senegal,12/30/14,1,0,0
397,Guinea,12/29/14,2384,36,1422
398,Liberia,12/29/14,3108,3096,NA
399,Sierra Leone,12/29/14,7326,1796,2366
400,Mali,12/29/14,7,0,NA
401,Spain,12/29/14,1,0,0
402,United States of America,12/29/14,4,0,1
403,Nigeria,12/29/14,19,0,7
404,Senegal,12/29/14,1,0,0
405,Guinea,12/26/14,2342,19,1385
406,Liberia,12/26/14,3085,3020,NA
407,Sierra Leone,12/26/14,7160,1756,2289
408,Mali,12/26/14,7,0,NA
409,Spain,12/26/14,1,0,0
410,United States of America,12/26/14,4,0,1
411,Nigeria,12/26/14,19,0,7
412,Senegal,12/26/14,1,0,0
413,Guinea,12/24/14,2284,50,1344
414,Liberia,12/24/14,3085,3020,NA
415,Sierra Leone,12/24/14,7017,1700,2216
416,Mali,12/24/14,7,0,NA
417,Spain,12/24/14,1,0,0
418,United States of America,12/24/14,4,0,1
419,Nigeria,12/24/14,19,0,7
420,Senegal,12/24/14,1,0,0
421,Guinea,12/23/14,2284,50,1344
422,Liberia,12/23/14,3085,2991,NA
423,Sierra Leone,12/23/14,7017,1700,2216
424,Mali,12/23/14,7,0,NA
425,Spain,12/23/14,1,0,0
426,United States of America,12/23/14,4,0,1
427,Nigeria,12/23/14,19,0,7
